Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.217-192.168.1.223-58981-50001-17,192.168.1.217,58981,192.168.1.223,50001,17,19/01/2025 08:15:10 ??,96417903,167,1,12358.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,128.9387096502192,1.7424149952732326,577352.7125748503,495397.68281143653,6518907.0,292603.0,9.6016118E7,578410.3493975899,496707.4728273857,6518907.0,292603.0,0,0,0,0,0,0,0,0,0,1336,8,1.7320434774442253,0.010371517829007337,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,74.44047619047619,74.0,74.0,0,0,0,0,0,0,167,12358,1,74,-1,-1,167,0,9439721.0,0.0,9439721.0,9439721.0,6518907.0,0.0,6518907.0,6518907.0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:15:11 ??,84452466,12,1,108.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.3853947142289487,0.15393274602543874,7037705.500000001,39013.906307413454,7117281.0,6955965.0,7.7335185E7,7030471.363636363,31360.8251175658,7068503.0,6955965.0,0,0,0,0,0,0,0,0,0,96,8,0.14209176556194344,0.011840980463495287,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.692307692307692,9.0,9.0,0,0,0,0,0,0,12,108,1,9,-1,-1,12,0,0,0,0,0,7037705.500000001,39013.906307413454,7117281.0,6955965.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:16:22 ??,24161546,25,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0760900813217829,966461.8400000001,910351.3252984934,1909128.0,92521.0,2.4043713E7,1001821.3749999999,912225.4398637392,1909128.0,92521.0,0,0,0,0,0,0,0,0,0,0,0,1.0347020012709451,0.04138808005083781,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,25,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-33613-50001-17,192.168.1.217,33613,192.168.1.223,50001,17,19/01/2025 08:00:20 ??,8007656,4,1,296.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,46.20578106751838,0.6244024468583564,2001914.0,2638.496667927907,2004401.0,1999274.0,6003701.0,2001233.6666666667,2768.641604349204,2004401.0,1999274.0,0,0,0,0,0,0,0,0,0,32,8,0.4995219574866852,0.1248804893716713,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,88.8,74.0,74.0,0,0,0,0,0,0,4,296,1,74,-1,-1,4,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-40499-50001-17,192.168.1.217,40499,192.168.1.223,50001,17,19/01/2025 08:09:06 ??,16028773,2,1,148.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,13.850093204264605,0.18716342167925143,8014386.5,2849174.3448129846,1.0029057E7,5999716.0,5999716.0,5999716.0,0.0,5999716.0,5999716.0,0,0,0,0,0,0,0,0,0,16,8,0.12477561445283428,0.06238780722641714,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,98.66666666666667,74.0,74.0,0,0,0,0,0,0,2,148,1,74,-1,-1,2,0,0,0,0,0,8014386.5,2849174.3448129846,1.0029057E7,5999716.0,No Label
192.168.1.217-192.168.1.223-40499-50001-17,192.168.1.217,40499,192.168.1.223,50001,17,19/01/2025 08:00:34 ??,117999678,27,1,1998.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,17.55936995014512,0.23728878311006915,4370358.444444445,3186918.5337020652,1.4021674E7,134153.0,1.1399229E8,4384318.846153847,3249189.9205496954,1.4021674E7,134153.0,0,0,0,0,0,0,0,0,0,216,8,0.22881418371328097,0.008474599396788185,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,76.64285714285714,74.0,74.0,0,0,0,0,0,0,27,1998,1,74,-1,-1,27,0,1.19960035E7,7142717.244461078,2.2030382E7,6004104.0,8252157.374999999,3121500.3076843824,1.4021674E7,5865869.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:02:20 ??,118321190,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0141885827889323,994295.7142857137,861666.6475664916,1931398.0,71601.0,1.18149747E8,1001269.0423728816,861962.4099375646,1931398.0,71601.0,0,0,0,0,0,0,0,0,0,0,0,1.0057370112656914,0.008451571523241103,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:02:31 ??,119671321,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.3537077943678753,0.15041197715198615,7039489.470588235,19383.034724720124,7093550.0,6991984.0,1.1262904E8,7039315.0,20004.920871292255,7093550.0,6991984.0,0,0,0,0,0,0,0,0,0,136,8,0.14205575619909802,0.008356220952888118,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7039489.470588235,19383.034724720124,7093550.0,6991984.0,No Label
192.168.1.217-192.168.1.223-40499-50001-17,192.168.1.217,40499,192.168.1.223,50001,17,19/01/2025 08:02:34 ??,118244186,32,1,2368.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,20.65217819673603,0.2790834891450815,3695130.8125,3186367.5610939437,1.6069028E7,1962819.0,1.1424214E8,3685230.322580646,3238537.9917647345,1.6069028E7,1962819.0,0,0,0,0,0,0,0,0,0,256,8,0.2706264137164427,0.008457075428638834,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,76.24242424242425,74.0,74.0,0,0,0,0,0,0,32,2368,1,74,-1,-1,32,0,1.2026873E7,1.5767211360416163E7,4.0061775E7,4001841.0,9016593.833333332,4169999.0339164073,1.6069028E7,6001585.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:04:20 ??,118219396,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0150618600690533,993440.3025210083,951332.5220375352,1977030.0,28635.0,1.18149081E8,1001263.3983050844,951537.5723729033,1977030.0,28635.0,0,0,0,0,0,0,0,0,0,0,0,1.0066030112351445,0.008458848833908777,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:04:37 ??,119603300,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.354477677455388,0.15049751971726533,7035488.2352941185,72265.8227038632,7153568.0,6928031.0,1.12622965E8,7038935.312499999,73178.133926029,7153568.0,6928031.0,0,0,0,0,0,0,0,0,0,136,8,0.14213654639963946,0.008360973317625852,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7035488.2352941185,72265.8227038632,7153568.0,6928031.0,No Label
192.168.1.217-192.168.1.223-40499-50001-17,192.168.1.217,40499,192.168.1.223,50001,17,19/01/2025 08:04:42 ??,102173817,10,1,740.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,7.966815999445338,0.10765967566818023,1.0217381699999997E7,9926219.520340037,3.605947E7,3991330.0,6.6114347E7,7346038.555555556,4253725.938963484,1.403111E7,3991330.0,0,0,0,0,0,0,0,0,0,80,8,0.0978724324256184,0.00978724324256184,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,80.72727272727273,74.0,74.0,0,0,0,0,0,0,10,740,1,74,-1,-1,10,0,6006697.0,2850159.3445591773,8022064.0,3991330.0,1.4358937333333334E7,1.122034723039751E7,3.605947E7,6005734.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:06:20 ??,118158005,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0155892527129244,992924.4117647057,989863.1202772211,2006522.0,665.0,1.18128831E8,1001091.7881355931,990049.3619046266,2006522.0,665.0,0,0,0,0,0,0,0,0,0,0,0,1.007126008940317,0.008463243772607704,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:06:44 ??,119717411,16,1,144.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.2780095954463968,0.14200106616071073,7482338.1875,1775722.3010749633,1.413704E7,6924916.0,1.12593059E8,7506203.933333333,1835389.1693242947,1.413704E7,6924916.0,0,0,0,0,0,0,0,0,0,128,8,0.13364806226890422,0.008353003891806514,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.529411764705882,9.0,9.0,0,0,0,0,0,0,16,144,1,9,-1,-1,16,0,0,0,0,0,7482338.1875,1775722.3010749633,1.413704E7,6924916.0,No Label
192.168.1.217-192.168.1.223-40499-50001-17,192.168.1.217,40499,192.168.1.223,50001,17,19/01/2025 08:07:02 ??,110152953,50,1,3700.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,34.26145098443253,0.4629925808707099,2203059.0600000005,4430400.791320919,2.027966E7,1.0,1.06144807E8,2166220.5510204076,4468569.103198071,2.027966E7,1.0,0,0,0,0,0,0,0,0,0,400,8,0.45391429497128416,0.009078285899425683,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,75.45098039215686,74.0,74.0,0,0,0,0,0,0,50,3700,1,74,-1,-1,50,0,7936215.0,139091.96743881382,8009313.0,7727632.0,1.30680155E7,4047095.2270942056,2.027966E7,1.000913E7,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:08:20 ??,118198231,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0152436206934432,993262.4453781513,981695.9103489962,2006408.0,226.0,1.18182254E8,1001544.5254237289,981698.2874568027,2006408.0,226.0,0,0,0,0,0,0,0,0,0,0,0,1.0067832571876647,0.008460363505778693,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:08:51 ??,119667645,16,1,144.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.2785410793368583,0.1420601199263176,7479227.8125,1758133.287966879,1.4070384E7,6957407.0,1.12618615E8,7507907.666666666,1815962.5882209402,1.4070384E7,6957407.0,0,0,0,0,0,0,0,0,0,128,8,0.13370364228359305,0.008356477642724566,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.529411764705882,9.0,9.0,0,0,0,0,0,0,16,144,1,9,-1,-1,16,0,0,0,0,0,7479227.8125,1758133.287966879,1.4070384E7,6957407.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:10:21 ??,118278677,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0145531134069077,993938.462184874,944061.0309251844,2003049.0,570.0,1.18274155E8,1002323.3474576272,943626.4112726167,2003049.0,570.0,0,0,0,0,0,0,0,0,0,0,0,1.0060985041285166,0.008454609278390897,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:10:57 ??,119575706,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.354790244767612,0.15053224941862356,7033865.05882353,102347.07771626316,7207372.0,6826984.0,1.12544429E8,7034026.812499999,105701.36309320941,7207372.0,6826984.0,0,0,0,0,0,0,0,0,0,136,8,0.14216934667314446,0.008362902745479087,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7033865.05882353,102347.07771626316,7207372.0,6826984.0,No Label
192.168.1.217-192.168.1.223-58981-50001-17,192.168.1.217,58981,192.168.1.223,50001,17,19/01/2025 08:09:35 ??,82080362,11,1,814.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,10.818665736391369,0.1461981856269104,7461851.090909091,9135653.597348263,2.845453E7,401317.0,8.0085745E7,8008574.5,9438231.667250106,2.845453E7,401317.0,0,0,0,0,0,0,0,0,0,88,8,0.13401500349133452,0.012183182135575866,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,80.16666666666667,74.0,74.0,0,0,0,0,0,0,11,814,1,74,-1,-1,11,0,5167377.666666667,5932398.644421102,1.2011471E7,1496045.0,1.664455725E7,9765198.166134037,2.845453E7,6007789.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:12:21 ??,118385260,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0136397048078452,994834.117647059,926996.2260687735,2010786.0,278.0,1.18244718E8,1002073.8813559326,927564.5736309495,2010786.0,278.0,0,0,0,0,0,0,0,0,0,0,0,1.0051927072677798,0.008446997540065376,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-58981-50001-17,192.168.1.217,58981,192.168.1.223,50001,17,19/01/2025 08:13:09 ??,119601727,232,1,17168.0,74.0,74.0,74.0,74.0,0.0,74.0,74.0,74.0,0.0,144.16179793122888,1.948132404476066,515524.6853448276,103622.68932933696,1075582.0,294057.0,1.19185029E8,515952.50649350655,103642.17013454933,1075582.0,294057.0,0,0,0,0,0,0,0,0,0,1856,8,1.9397713211950527,0.008361083281013159,74.0,74.0,74.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,74.3175965665236,74.0,74.0,0,0,0,0,0,0,232,17168,1,74,-1,-1,232,0,0,0,0,0,0,0,0,0,No Label
192.168.1.223-255.255.255.255-30303-30303-17,192.168.1.223,30303,255.255.255.255,30303,17,19/01/2025 08:13:04 ??,119665685,17,1,153.0,9.0,9.0,9.0,9.0,0.0,9.0,9.0,9.0,0.0,1.3537715511343122,0.1504190612371458,7039157.94117647,114003.29894594636,7247393.0,6799064.0,1.12695601E8,7043475.0625,116298.07243886644,7247393.0,6799064.0,0,0,0,0,0,0,0,0,0,136,8,0.14206244672397103,0.008356614513174767,9.0,9.0,9.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,9.5,9.0,9.0,0,0,0,0,0,0,17,153,1,9,-1,-1,17,0,0,0,0,0,7039157.94117647,114003.29894594636,7247393.0,6799064.0,No Label
8.0.6.4-8.6.0.1-0-0-0,8.6.0.1,0,8.0.6.4,0,0,19/01/2025 08:14:21 ??,118669171,119,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.011214614451128,997219.9243697473,889305.1221406019,2007531.0,7632.0,1.18591516E8,1005012.847457627,889007.6051825354,2007531.0,7632.0,0,0,0,0,0,0,0,0,0,0,0,1.0027878259973688,0.008426788453759401,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0,0,0,119,0,1,0,-1,-1,0,0,0,0,0,0,0,0,0,0,No Label
