Flow ID,Src IP,Src Port,Dst IP,Dst Port,Protocol,Timestamp,Flow Duration,Tot Fwd Pkts,Tot Bwd Pkts,TotLen Fwd Pkts,TotLen Bwd Pkts,Fwd Pkt Len Max,Fwd Pkt Len Min,Fwd Pkt Len Mean,Fwd Pkt Len Std,Bwd Pkt Len Max,Bwd Pkt Len Min,Bwd Pkt Len Mean,Bwd Pkt Len Std,Flow Byts/s,Flow Pkts/s,Flow IAT Mean,Flow IAT Std,Flow IAT Max,Flow IAT Min,Fwd IAT Tot,Fwd IAT Mean,Fwd IAT Std,Fwd IAT Max,Fwd IAT Min,Bwd IAT Tot,Bwd IAT Mean,Bwd IAT Std,Bwd IAT Max,Bwd IAT Min,Fwd PSH Flags,Bwd PSH Flags,Fwd URG Flags,Bwd URG Flags,Fwd Header Len,Bwd Header Len,Fwd Pkts/s,Bwd Pkts/s,Pkt Len Min,Pkt Len Max,Pkt Len Mean,Pkt Len Std,Pkt Len Var,FIN Flag Cnt,SYN Flag Cnt,RST Flag Cnt,PSH Flag Cnt,ACK Flag Cnt,URG Flag Cnt,CWE Flag Count,ECE Flag Cnt,Down/Up Ratio,Pkt Size Avg,Fwd Seg Size Avg,Bwd Seg Size Avg,Fwd Byts/b Avg,Fwd Pkts/b Avg,Fwd Blk Rate Avg,Bwd Byts/b Avg,Bwd Pkts/b Avg,Bwd Blk Rate Avg,Subflow Fwd Pkts,Subflow Fwd Byts,Subflow Bwd Pkts,Subflow Bwd Byts,Init Fwd Win Byts,Init Bwd Win Byts,Fwd Act Data Pkts,Fwd Seg Size Min,Active Mean,Active Std,Active Max,Active Min,Idle Mean,Idle Std,Idle Max,Idle Min,Label
192.168.1.217-192.168.1.223-49046-50001-17,192.168.1.217,49046,192.168.1.223,50001,17,02/02/2025 09:11:16 ??,3680286,7,1,553.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,171.72578435480284,2.173744105756998,525755.142857143,86712.93205827409,715664.0,453581.0,3226705.0,537784.1666666666,88360.06353192977,715664.0,483122.0,0,0,0,0,0,0,0,0,0,56,8,1.9020260925373733,0.27171801321962474,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,88.875,79.0,79.0,0,0,0,0,0,0,7,553,1,79,-1,-1,7,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-239.255.255.250-59122-1900-17,192.168.1.1,59122,239.255.255.250,1900,17,02/02/2025 09:10:43 ??,173597,17,1,7251.0,382.0,462.0,382.0,426.5294117647059,29.462089299341176,382.0,382.0,382.0,0.0,43969.653853465206,103.68842779541122,10211.588235294117,17763.578616296687,73880.0,0.0,173597.0,10849.812500000002,18143.725796056886,73880.0,0.0,0,0,0,0,0,0,0,0,0,136,8,97.92795958455503,5.760468210856178,382.0,462.0,421.84210526315786,31.123880002865146,968.6959064327489,0,0,0,0,0,0,0,0,0.0,445.27777777777777,426.52941176470586,382.0,0,0,0,0,0,0,17,7251,1,382,-1,-1,17,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-36550-50001-17,192.168.1.217,36550,192.168.1.223,50001,17,02/02/2025 09:11:10 ??,9032877,19,1,1501.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,174.91658526956584,2.214133990753998,475414.5789473685,90760.36313300584,647480.0,306719.0,8603458.0,477969.8888888889,92685.69819422865,647480.0,306719.0,0,0,0,0,0,0,0,0,0,152,8,2.103427291216298,0.1107066995376999,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,82.95,79.0,79.0,0,0,0,0,0,0,19,1501,1,79,-1,-1,19,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-56388-50001-17,192.168.1.217,56388,192.168.1.223,50001,17,02/02/2025 09:11:04 ??,15666134,45,1,3555.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,231.96533362985406,2.93627004594752,348136.3111111111,140585.45438771753,634900.0,119547.0,1.5497427E7,352214.24999999994,139492.54376224426,634900.0,119547.0,0,0,0,0,0,0,0,0,0,360,8,2.8724380884269216,0.06383195752059825,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,80.71739130434783,79.0,79.0,0,0,0,0,0,0,45,3555,1,79,-1,-1,45,0,0,0,0,0,0,0,0,0,No Label
192.168.1.1-239.255.255.250-1900-1900-17,192.168.1.1,1900,239.255.255.250,1900,17,02/02/2025 09:11:35 ??,5695,3,1,920.0,343.0,353.0,279.0,306.6666666666667,40.3773864103824,343.0,343.0,343.0,0.0,221773.4855136084,702.3705004389815,1898.3333333333333,3287.1437956580685,5694.0,0.0,5694.0,2847.0,4026.2660120762016,5694.0,0.0,0,0,0,0,0,0,0,0,0,24,8,526.7778753292362,175.59262510974537,279.0,353.0,321.2,34.802298774649934,1211.2000000000003,0,0,0,0,0,0,0,0,0.0,401.5,306.6666666666667,343.0,0,0,0,0,0,0,3,920,1,343,-1,-1,3,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-59799-50001-17,192.168.1.217,59799,192.168.1.223,50001,17,02/02/2025 09:11:17 ??,2638452,5,1,395.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,179.6507952390265,2.2740606992281838,527690.4,67272.14394755082,640034.0,466512.0,2171940.0,542985.0,66892.1261484987,640034.0,491314.0,0,0,0,0,0,0,0,0,0,40,8,1.8950505826901531,0.37901011653803063,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,92.16666666666667,79.0,79.0,0,0,0,0,0,0,5,395,1,79,-1,-1,5,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-42716-50001-17,192.168.1.217,42716,192.168.1.223,50001,17,02/02/2025 09:11:02 ??,17677041,61,1,4819.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,277.0825728129499,3.507374339404429,289787.5573770492,156244.94917708798,609978.0,65442.0,1.7611599E7,293526.65,154786.8556734783,609978.0,91351.0,0,0,0,0,0,0,0,0,0,488,8,3.450803785543067,0.056570553861361755,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,80.2741935483871,79.0,79.0,0,0,0,0,0,0,61,4819,1,79,-1,-1,61,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-33166-50001-17,192.168.1.217,33166,192.168.1.223,50001,17,02/02/2025 09:11:11 ??,7849733,16,1,1264.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,171.08862174038276,2.165678756207377,490608.31249999994,93038.58547987408,699724.0,309198.0,7407504.0,493833.60000000003,95373.73131588323,699724.0,309198.0,0,0,0,0,0,0,0,0,0,128,8,2.0382858881951784,0.12739286801219865,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,83.6470588235294,79.0,79.0,0,0,0,0,0,0,16,1264,1,79,-1,-1,16,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-53745-50001-17,192.168.1.217,53745,192.168.1.223,50001,17,02/02/2025 09:11:05 ??,14460700,37,1,2923.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,207.59714260028906,2.6278119316492288,390829.72972972965,116424.31477923252,661950.0,207826.0,1.4177623E7,393822.86111111107,116623.10353617217,661950.0,207826.0,0,0,0,0,0,0,0,0,0,296,8,2.558658986079512,0.06915294556971655,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,81.07894736842105,79.0,79.0,0,0,0,0,0,0,37,2923,1,79,-1,-1,37,0,0,0,0,0,0,0,0,0,No Label
192.168.1.217-192.168.1.223-49583-50001-17,192.168.1.217,49583,192.168.1.223,50001,17,02/02/2025 09:11:19 ??,1013206,2,1,158.0,79.0,79.0,79.0,79.0,0.0,79.0,79.0,79.0,0.0,233.91097170762905,2.9608983760459373,506603.0,25468.57204477707,524612.0,488594.0,524612.0,524612.0,0.0,524612.0,524612.0,0,0,0,0,0,0,0,0,0,16,8,1.9739322506972914,0.9869661253486457,79.0,79.0,79.0,0.0,0.0,0,0,0,0,0,0,0,0,0.0,105.33333333333333,79.0,79.0,0,0,0,0,0,0,2,158,1,79,-1,-1,2,0,0,0,0,0,0,0,0,0,No Label
